,first_node,second_node,weight,dist,dif_genus_species
284,42.0,52.0,4.0,14.998569067059936,2.0
285,42.0,53.0,2.0,36.56883007117948,2.0
286,43.0,44.0,4.0,12.828791431259802,2.0
287,43.0,45.0,4.0,23.741112121811263,2.0
288,43.0,46.0,2.0,35.25965300983284,2.0
289,43.0,47.0,2.0,44.706399873094085,2.0
290,43.0,49.0,4.0,15.526876559679115,2.0
291,43.0,50.0,4.0,11.766655379318294,2.0
292,43.0,51.0,4.0,10.09668274031991,2.0
293,43.0,52.0,2.0,25.2259839877552,2.0
294,44.0,45.0,4.0,11.05691799470033,2.0
295,44.0,46.0,4.0,22.80105366541544,2.0
296,44.0,47.0,2.0,32.33099820795627,2.0
297,44.0,48.0,2.0,43.31703699699498,2.0
298,44.0,49.0,4.0,12.668325764471183,2.0
299,44.0,50.0,4.0,14.697122307824658,2.0
300,44.0,51.0,4.0,18.516038469194175,2.0
301,45.0,47.0,4.0,21.348026990925177,2.0
302,45.0,49.0,4.0,17.149271439000422,2.0
303,45.0,50.0,4.0,22.07522809195728,2.0
304,45.0,51.0,2.0,27.55654986001078,2.0
305,45.0,52.0,2.0,48.48190561710907,2.0
306,45.0,501.0,1.0,42.078752472115255,1.0
307,46.0,47.0,4.0,9.53759140832989,2.0
308,46.0,49.0,2.0,25.644964564044063,2.0
309,46.0,50.0,2.0,31.53998482683176,2.0
310,46.0,51.0,2.0,37.69312766080196,2.0
311,46.0,139.0,2.0,44.591635046259036,2.0
312,46.0,187.0,2.0,43.811005884337014,2.0
313,46.0,501.0,1.0,31.115471460312254,1.0
314,47.0,48.0,4.0,10.991968814189743,2.0
315,47.0,49.0,2.0,34.08914027037748,2.0
316,47.0,50.0,2.0,40.19965632290273,2.0
317,47.0,51.0,2.0,46.547839635090746,2.0
318,47.0,138.0,2.0,49.624812224288384,2.0
319,47.0,139.0,2.0,35.05922641767286,2.0
320,47.0,150.0,2.0,46.12197058289519,2.0
321,47.0,187.0,2.0,34.45988823832316,2.0
322,47.0,501.0,4.0,22.740708041098216,2.0
323,48.0,49.0,2.0,44.596680857631746,2.0
324,48.0,138.0,2.0,38.81740500501095,2.0
325,48.0,139.0,4.0,24.161810151115674,2.0
326,48.0,149.0,2.0,43.04624531254161,2.0
327,48.0,150.0,2.0,35.24020615788062,2.0
328,48.0,151.0,2.0,46.153824364167335,2.0
329,48.0,187.0,4.0,23.653325228684878,2.0
330,48.0,501.0,3.0,14.286196213365237,1.0
331,49.0,52.0,2.0,35.23336122626906,2.0
332,50.0,52.0,2.0,29.00949265500728,2.0
333,51.0,52.0,4.0,22.441248004859276,2.0
334,51.0,53.0,2.0,48.931779057736364,2.0
335,52.0,53.0,2.0,26.490559590746752,2.0
336,53.0,54.0,2.0,27.273158917286167,2.0
337,53.0,55.0,2.0,35.652797358520694,2.0
338,53.0,56.0,2.0,42.984679724725865,2.0
339,54.0,806.0,2.0,42.04569937583428,2.0
340,54.0,807.0,2.0,30.465409832827184,2.0
341,54.0,839.0,2.0,45.3670613247486,2.0
342,54.0,840.0,2.0,38.38158352075977,2.0
343,55.0,806.0,2.0,35.651675066973446,2.0
344,55.0,807.0,4.0,22.28326272803565,2.0
345,55.0,838.0,2.0,47.673683014575424,2.0
346,55.0,839.0,2.0,37.74031590138123,2.0
347,55.0,840.0,2.0,30.1063140931596,2.0
348,56.0,803.0,2.0,49.186368242885614,2.0
349,56.0,806.0,2.0,30.838927972309754,2.0
350,56.0,807.0,4.0,15.29743993956527,2.0
351,56.0,837.0,2.0,46.220894285261615,2.0
352,56.0,838.0,2.0,41.318069018938665,2.0
353,56.0,839.0,2.0,31.378352713845462,2.0
354,56.0,840.0,4.0,22.926193023095067,2.0
355,57.0,802.0,2.0,48.904591549564685,2.0
356,57.0,803.0,2.0,41.86597207770596,2.0
357,57.0,804.0,2.0,44.57215986227255,2.0
358,57.0,805.0,2.0,48.847790746204645,2.0
359,57.0,806.0,2.0,25.54741569576374,2.0
360,57.0,807.0,4.0,8.038832152944645,2.0
361,57.0,836.0,2.0,43.88996298851091,2.0
